title,writer,rating
외모지상주의,박태준,9.47
쇼미더럭키짱!,박태준 / 김성모,9.39
나 혼자 만렙...,WAN.Z / 스윙뱃 / ...,9.85
대학원 탈출일지,요다,9.97
갓 오브 하이...,박용제,9.64
광마회귀,JP / 이히 / 유진성,9.96
어쩌다보니 천...,꿀타래 / 담초,9.95
데드퀸,김규삼,9.96
내과 박원장,장봉수,9.92
재혼 황후,히어리 / 숨풀 / 알파타...,9.97
1초,시니 / 광운,9.97
개를 낳았다,이선,9.93
죽지 않으려면,파래 / 임진국,9.91
세기말 풋사과...,순끼,9.98
삼국지톡,무적핑크 / 이리,9.91
낙향문사전,바킹독 / 팀 페가수스 /...,9.73
서울역 드루이드,문성호 / 활성곰 / 진설우,9.66
상남자,하늘소 / 도가도 / 김태궁,9.94
더 게이머,성상영 / 상아,8.53
소극적 인간,다쓴총,9.89
뫼신 사냥꾼,승림 / 방승현 / 윤현승,9.93
히어로 킬러,꿀벌 / 벌꿀,9.95
쌈빡,38,9.71
역대급 영지 ...,이현민 / 김현수 / 문백경,9.95
A.I. 닥터,ZAINO / 쿠큐 / 한...,9.97
플레이어,박종석 / 오현준,9.91
여성전용헬스장...,유기,9.18
구남친이 내게...,희똑 / 강하다,9.89
푸쉬오프,허5파6,9.98
그렇고 그런 ...,아니영,9.97
모텔 304호,이말랭,9.71
상위1%,미티 / 웅비,8.88
희란국연가,MIDNIGHT STUDI...,9.95
미혼남녀의 효...,타리,9.95
여우놀이,황혜진,9.97
그 기사가 레...,아인 / Ink. / 성혜림,9.95
스포,이강,9.91
후덜덜덜 남극...,김민혁,9.94
스치면 인연 ...,을승,9.89
사람의 조각,신의철 / 천범식,9.92
버그: 스티그마,해마 / 송지형,7.83
도무지 그애는,게코,9.97
미친 후작을 ...,골지 / 이레 / 로판맛집,9.89
식인귀,선택길,9.93
너의 미소가 ...,앵고,9.97
감자마을,박지독,9.94
골든 체인지,브림스,9.98
엽사:요괴사냥꾼,삼박,5.15
오!너의 리스크,바리,9.95
인피니티,2오,9.67
이게 아닌데,봄소희 / 김세이,9.92
태권보이,김우준,9.86
네버엔딩달링,울리,9.95
"주님, 악마가...",불사 / 용가리,9.95
악몽일기,육공,9.85
리트리츠,신형욱 / 김선희,9.93
몽홀,장태산,9.91
백년게임,하람 / 지야,9.81
재앙의 날,환상특급 / 이승찬,9.80
트럼프,이채은,9.97
여름여자 하보이,석영,9.97
로판 빙의 만화,싱난다,9.96
아찔한 전남편,기뭉 / 여백 / 별규,9.86
꽃 피우는 남자,양하,9.93
달이 없는 나라,엥비,9.96
나쁜 쪽으로,오은 / 이세릴,9.55
빨간맛 로맨스,사지현 / 서루,9.96
합법해적 파르페,뼈피살,9.96
히트포인트,민형 / 여강현,9.57
짝사랑 마들렌,미이,9.94
팬시X팬시,인미,9.93
킬러방 : 퍼...,김도연 / 방진호,9.78
행운을 빌어요...,송현주,9.84
다름이 아니라,해미,9.52
